2025-05-22 16:40:57 - INFO - --- Initializing Supervised Training for: CTNet ---
2025-05-22 16:40:57 - INFO - Using device: cuda
2025-05-22 16:40:57 - INFO - Loading training dataset...
2025-05-22 16:40:58 - INFO - Loading validation dataset...
2025-05-22 16:40:58 - INFO - Train segments: 355781, Validation segments: 29169
2025-05-22 16:40:58 - INFO - Model: CTNet initialized. Parameters: 0.02M
2025-05-22 16:40:58 - INFO - Using weighted CrossEntropyLoss with weights: [1.0, 4.0]
2025-05-22 16:40:58 - INFO - No checkpoint directory found or no checkpoints available. Starting training from epoch 0.
2025-05-22 16:40:58 - INFO - Starting training loop from epoch 0...
2025-05-22 18:41:00 - INFO - Epoch 28: Train Loss: 0.4109, Val Loss: 0.6561, Val Acc: 0.7527, Val F1: 0.7233, Val Recall: 0.6560, LR: 1.00e-04, Time: 194.73s
2025-05-22 18:44:11 - INFO - Epoch 29: Train Loss: 0.4101, Val Loss: 0.6316, Val Acc: 0.7462, Val F1: 0.7135, Val Recall: 0.6414, LR: 1.00e-04, Time: 191.59s
2025-05-22 18:47:38 - INFO - Epoch 30: Train Loss: 0.4085, Val Loss: 0.6399, Val Acc: 0.7599, Val F1: 0.7234, Val Recall: 0.6375, LR: 1.00e-04, Time: 206.63s
2025-05-22 18:51:32 - INFO - Epoch 31: Train Loss: 0.4014, Val Loss: 0.6370, Val Acc: 0.7522, Val F1: 0.7170, Val Recall: 0.6372, LR: 1.00e-05, Time: 234.13s
2025-05-22 18:54:56 - INFO - Epoch 32: Train Loss: 0.4000, Val Loss: 0.6374, Val Acc: 0.7606, Val F1: 0.7278, Val Recall: 0.6498, LR: 1.00e-05, Time: 203.54s
2025-05-22 18:58:09 - INFO - Epoch 33: Train Loss: 0.4012, Val Loss: 0.6576, Val Acc: 0.7543, Val F1: 0.7208, Val Recall: 0.6438, LR: 1.00e-05, Time: 193.71s
2025-05-22 19:01:25 - INFO - Epoch 34: Train Loss: 0.3987, Val Loss: 0.6431, Val Acc: 0.7551, Val F1: 0.7231, Val Recall: 0.6490, LR: 1.00e-05, Time: 195.31s
2025-05-22 19:05:28 - INFO - Epoch 35: Train Loss: 0.3991, Val Loss: 0.6490, Val Acc: 0.7516, Val F1: 0.7150, Val Recall: 0.6325, LR: 1.00e-05, Time: 243.25s
2025-05-22 19:09:58 - INFO - Epoch 36: Train Loss: 0.3991, Val Loss: 0.6521, Val Acc: 0.7570, Val F1: 0.7267, Val Recall: 0.6558, LR: 1.00e-05, Time: 269.96s
2025-05-22 19:15:08 - INFO - Epoch 37: Train Loss: 0.3992, Val Loss: 0.6469, Val Acc: 0.7552, Val F1: 0.7189, Val Recall: 0.6356, LR: 1.00e-05, Time: 309.86s
